epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,966.651,1.32048,3.19305,0.01203,0.5854,0.52436,0.54218,0.34048,1.49042,1.35205,0.01586,0.00999378,0.00333126,0.00999378,0.00333126,0.00999378,0.00333126,0.00999378,0.00333126
2,1920.11,1.44342,1.38312,0.01343,0.62285,0.46481,0.50175,0.29445,1.62222,1.4932,0.01743,0.0197958,0.00659861,0.0197958,0.00659861,0.0197958,0.00659861,0.0197958,0.00659861
3,2817.91,1.53575,1.49809,0.01431,0.61598,0.47819,0.52552,0.30304,1.69065,1.42421,0.01741,0.0293999,0.00979997,0.0293999,0.00979997,0.0293999,0.00979997,0.0293999,0.00979997
4,3662.31,1.53734,1.45981,0.01403,0.66137,0.50697,0.57529,0.35052,1.57986,1.32541,0.01655,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4505.62,1.49219,1.38153,0.01331,0.70797,0.50819,0.59385,0.36876,1.53256,1.23553,0.01514,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5348.74,1.46153,1.33118,0.01283,0.71144,0.54817,0.62139,0.40218,1.40223,1.1587,0.01337,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6193.23,1.43184,1.29284,0.01239,0.71872,0.54828,0.63266,0.41717,1.32736,1.11014,0.01214,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7037.23,1.40448,1.25853,0.01203,0.76103,0.56248,0.64371,0.43022,1.29944,1.08083,0.01183,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7879.61,1.384,1.24174,0.01178,0.77978,0.57493,0.66414,0.44925,1.2765,1.0355,0.01141,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,8723.95,1.37558,1.22581,0.01161,0.74881,0.58828,0.66683,0.45651,1.24193,1.02288,0.01092,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
